mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.019,0.995,-1.818,1.915,0.026,0.015,1441.0,1916.0,1.0
-0.032,1.001,-1.864,1.858,0.026,0.015,1501.0,2102.0,1.0
0.034,1.007,-1.903,1.817,0.029,0.018,1214.0,1774.0,1.01
0.001,1.01,-1.911,1.811,0.028,0.016,1317.0,2097.0,1.0
0.015,1.012,-1.886,1.863,0.028,0.019,1263.0,1512.0,1.0
0.013,0.96,-1.755,1.839,0.024,0.016,1575.0,2080.0,1.0
0.04,0.978,-1.751,1.882,0.027,0.016,1335.0,1964.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,986.0,1451.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,996.0,1337.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,919.0,1183.0,1.01
0.0,0.001,-0.001,0.001,0.0,0.0,1024.0,1450.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,1047.0,1045.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,923.0,1501.0,1.0
-0.11,0.977,-1.83,1.814,0.026,0.016,1448.0,1911.0,1.0
0.084,0.954,-1.753,1.824,0.024,0.017,1533.0,1934.0,1.0
-0.035,0.987,-1.937,1.767,0.031,0.018,998.0,1814.0,1.0
0.036,0.969,-1.771,1.831,0.026,0.017,1410.0,1722.0,1.0
-0.003,0.927,-1.75,1.719,0.022,0.015,1749.0,2152.0,1.0
0.019,0.976,-1.578,2.092,0.029,0.016,1162.0,1773.0,1.0
-0.054,0.945,-1.9,1.626,0.028,0.018,1167.0,1620.0,1.0
-0.157,0.912,-1.895,1.52,0.027,0.016,1129.0,1557.0,1.0
0.018,0.939,-1.735,1.794,0.029,0.019,1089.0,1370.0,1.0
0.188,0.932,-1.499,1.982,0.025,0.015,1400.0,2058.0,1.0
-0.09,0.935,-1.882,1.65,0.027,0.018,1165.0,1902.0,1.0
0.121,0.913,-1.584,1.841,0.025,0.016,1278.0,2315.0,1.0
0.037,0.922,-1.735,1.718,0.026,0.017,1263.0,1910.0,1.0
0.068,0.901,-1.632,1.752,0.029,0.016,947.0,1555.0,1.0
0.008,0.936,-1.643,1.86,0.023,0.015,1697.0,2156.0,1.0
-0.049,0.954,-1.821,1.756,0.026,0.016,1384.0,2096.0,1.0
-0.031,0.927,-1.795,1.684,0.028,0.017,1095.0,1746.0,1.0
0.031,0.931,-1.776,1.72,0.027,0.015,1233.0,1695.0,1.0
-0.099,0.954,-1.834,1.759,0.024,0.016,1539.0,2218.0,1.0
-0.04,0.945,-1.788,1.743,0.024,0.015,1500.0,1943.0,1.0
0.036,0.95,-1.761,1.843,0.025,0.014,1419.0,2298.0,1.0
-0.033,0.956,-1.885,1.731,0.025,0.016,1460.0,2128.0,1.0
-0.024,0.974,-1.839,1.759,0.026,0.016,1439.0,2158.0,1.0
0.019,0.962,-1.888,1.725,0.024,0.015,1576.0,2341.0,1.0
0.128,0.95,-1.741,1.865,0.028,0.02,1215.0,1385.0,1.0
0.023,0.899,-1.608,1.707,0.023,0.016,1560.0,1732.0,1.0
0.026,0.954,-1.758,1.887,0.028,0.017,1150.0,1764.0,1.0
-0.026,0.916,-1.647,1.719,0.023,0.015,1549.0,2084.0,1.0
0.006,0.919,-1.736,1.686,0.026,0.015,1291.0,1985.0,1.0
-0.027,0.953,-1.827,1.705,0.027,0.015,1267.0,1628.0,1.0
-0.049,0.966,-1.797,1.828,0.027,0.017,1273.0,1853.0,1.0
0.097,0.945,-1.635,1.935,0.025,0.016,1469.0,2195.0,1.0
-0.025,0.967,-1.86,1.752,0.025,0.017,1487.0,1934.0,1.01
-0.045,0.975,-1.877,1.812,0.026,0.014,1413.0,2223.0,1.0
0.026,0.956,-1.678,1.873,0.026,0.016,1317.0,1842.0,1.0
0.011,0.947,-1.82,1.747,0.024,0.015,1506.0,1927.0,1.0
-0.043,0.923,-1.776,1.641,0.027,0.015,1162.0,2218.0,1.0
