timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,minmax,0.0008041943838008944,0.028358321244405398,0.017637514566217836,0.31285455386334354
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,maxabs,10.902645103384987,3.3019153689010547,2.5773623099824006,0.4178611614364435
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,maxabs,0.0020956284062003602,0.04577803410152472,0.041752191513233824,0.6527497334834703
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,maxabs,0.14120506520265605,0.375772624339049,0.34647993125777493,10.593744355609807
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,maxabs,0.11410149386297697,0.33778912632436375,0.3119124193211543,3.8420828355396432
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,maxabs,0.0005766394183217336,0.024013317520112328,0.017686099552437273,0.44973134035536505
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,minmax,10.881538162706136,3.298717654287213,2.5747692982751698,0.416950318041492
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,minmax,0.00021271069454967956,0.014584604710093433,0.01234002396156068,0.2037272523627996
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,minmax,0.07694747990436167,0.27739408772423696,0.2586974608064303,7.854019428795673
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,minmax,0.05330247787127275,0.23087329397587922,0.21574495652135403,2.6551706657903047
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.0,minmax,0.0008034493814155225,0.028345182684461966,0.017640275380032988,0.31328007279811576
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,maxabs,10.902269503435642,3.3018584923396768,2.577384830595431,0.4179054511755337
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,maxabs,0.0020971112669209454,0.04579422744103175,0.04177924630021319,0.6531545464427144
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,maxabs,0.14133267951777712,0.37594238856210016,0.34681151047838693,10.591908136032565
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,maxabs,0.11418937754890698,0.3379191878969097,0.3121937632096396,3.8429364689222396
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,maxabs,0.0005766685205014154,0.024013923471632358,0.01768485857992789,0.4499722235187214
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,minmax,10.878253449758526,3.2982197394592325,2.574230439553246,0.4163028109658428
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,minmax,0.00021303105790389088,0.014595583506797214,0.012356648801597613,0.20408327588818762
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,minmax,0.07704053712996252,0.2775617717373243,0.2589898967920901,7.857042034413268
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,minmax,0.05335173797818768,0.23097995146373132,0.21597291146352954,2.6565919802274003
