rmse,mae,mape,model,series,elapsed
0.09093417786210015,0.08293965545425112,2.586463985580324,"HW (add, mul, 7d)",Furnace 1 [kW],0.16429829597473145
0.09830349512872846,0.0897270296974747,2.796845304335703,"HW (add_damped, add, 7d)",Furnace 1 [kW],0.18631196022033691
0.12545327464319128,0.09556777685753269,1.9929543797491611,"HW (add, add, 30d)",Furnace 1 [kW],0.2075819969177246
0.057297442360078395,0.042240791260750546,0.9260265255247414,Temp Regression (linear+dow+month),Furnace 1 [kW],0.029171466827392578
0.06875947385237055,0.049180692300278286,1.113448232760926,Temp Only Regression,Furnace 1 [kW],0.011749744415283203
0.08190409973536926,0.07134436314847413,0.8706333288664571,Seasonal Naive (7d),Furnace 2 [kW],0.0
0.10632748453971622,0.08803979452544794,1.0180203912934354,Seasonal Naive (30d),Furnace 2 [kW],0.0
0.11893251804290023,0.10915391834181642,1.3655014469681601,Seasonal Naive Mean (7d),Furnace 2 [kW],0.0
0.07927600400314781,0.07067730925940628,0.8693379958873415,Rolling Mean (7d),Furnace 2 [kW],0.0
0.08802689492928983,0.07893305806161785,0.9864627584469426,Rolling Mean (14d),Furnace 2 [kW],0.0
0.08472646111389608,0.07581716439883471,0.9431391916031561,Rolling Mean (30d),Furnace 2 [kW],0.0
0.11836262663091227,0.10887685190381338,1.3657688352884692,Global Mean,Furnace 2 [kW],0.0
0.08661079575957707,0.07753235198092626,0.9673442157988055,"ARIMA(1,1,1)",Furnace 2 [kW],0.2243664264678955
0.06895205721964327,0.060292794116305094,0.7119876542333202,"ARIMA(2,1,1)",Furnace 2 [kW],0.09895133972167969
0.09123994623805479,0.08198572292263566,1.0276135031356413,"SARIMA(1,1,1)(1,0,1,7)",Furnace 2 [kW],0.3906526565551758
0.11590870564677974,0.10613113504901843,1.3345515585133783,Auto-ARIMA (best AIC),Furnace 2 [kW],1.461195945739746
0.10666355047997612,0.07716570382788204,0.6334021007820774,"HW (add, add, 7d)",Furnace 2 [kW],0.17521142959594727
0.0902737325960738,0.06392908574192728,0.51668238240326,"HW (add, mul, 7d)",Furnace 2 [kW],0.17123889923095703
0.06772666021307612,0.05313817786947584,0.5224943474895039,"HW (add_damped, add, 7d)",Furnace 2 [kW],0.1630091667175293
0.1390093501377688,0.10526056973783061,0.9148745931637813,"HW (add, add, 30d)",Furnace 2 [kW],0.19266653060913086
0.07340227751955497,0.04860663494389023,0.4464956494859041,Temp Regression (linear+dow+month),Furnace 2 [kW],0.026139259338378906
0.07492607258910192,0.049546641064438596,0.45870570954663503,Temp Only Regression,Furnace 2 [kW],0.010663270950317383
0.03386086610646583,0.024002894022032966,0.47568905555011604,Seasonal Naive (7d),Wine cellar [kW],0.0
0.03750817160072192,0.025380869272145147,0.4496034474544598,Seasonal Naive (30d),Wine cellar [kW],0.0
0.03974830449015171,0.027411435273313984,0.4365079709979653,Seasonal Naive Mean (7d),Wine cellar [kW],0.0
0.03213047418978981,0.021511883796523582,0.4070545292763865,Rolling Mean (7d),Wine cellar [kW],0.0
0.03480107892629268,0.02265892012251717,0.37540247134221666,Rolling Mean (14d),Wine cellar [kW],0.0
0.03581915375566439,0.02339648886531128,0.3767387824247533,Rolling Mean (30d),Wine cellar [kW],0.0
0.03977172098985537,0.027392942596495797,0.43518862286006943,Global Mean,Wine cellar [kW],0.0
0.034041638222759324,0.022219332607912076,0.3791474229522687,"ARIMA(1,1,1)",Wine cellar [kW],0.11067843437194824
0.03399506065293889,0.022196605387880795,0.3795546179380502,"ARIMA(2,1,1)",Wine cellar [kW],0.12953925132751465
0.033738637848008735,0.022062423315435873,0.3813197108765796,"SARIMA(1,1,1)(1,0,1,7)",Wine cellar [kW],0.39544010162353516
22.078193200559678,10.651795898173464,403.18085049121896,Auto-ARIMA (best AIC),Wine cellar [kW],1.587444543838501
0.0593709456842498,0.04594413773529823,1.5017341466701097,"HW (add, add, 7d)",Wine cellar [kW],0.13351011276245117
0.056955102219249,0.04341289910545598,1.4181364443939704,"HW (add, mul, 7d)",Wine cellar [kW],0.15447592735290527
0.03869623925023387,0.029467479611152782,0.946354943655785,"HW (add_damped, add, 7d)",Wine cellar [kW],0.15419244766235352
0.06514757464823624,0.051162066049903095,1.664578238448456,"HW (add, add, 30d)",Wine cellar [kW],0.1566474437713623
0.037426188152377526,0.02517204226523661,0.3950466394384264,Temp Regression (linear+dow+month),Wine cellar [kW],0.026874780654907227
0.0341544178965068,0.021916382151173336,0.3371418540584669,Temp Only Regression,Wine cellar [kW],0.00961160659790039
